joint_name,a0,a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,b5,b6
lfemur_0_pos,-0.13941448,-0.39117904,0.03582134,0.01947609,0.00151181,0.00111640,-0.00212896,-0.09979875,0.08805807,-0.02636400,0.01557151,-0.00059636,0.00084056
lfemur_1_pos,-0.02922297,0.01322147,-0.04844167,-0.02036761,-0.00786838,-0.00354665,-0.00038223,-0.01584641,-0.01017075,0.00292949,0.00288609,0.00025966,-0.00344016
lfemur_2_pos,-0.41287327,0.11212853,0.00598070,0.00951598,0.00688096,-0.00117579,0.00361862,-0.04094470,0.01099690,0.02027158,-0.00162430,-0.00290705,0.00150117
rfemur_0_pos,-0.11928228,0.38156858,0.02218131,-0.02799090,-0.00087677,-0.00285459,0.00120420,0.14540312,0.08552343,0.03426644,0.00468723,-0.00506019,-0.00388406
rfemur_1_pos,0.08551686,0.00372653,-0.00781110,-0.00161362,-0.00725683,0.00207086,0.00073398,-0.00279688,0.00788869,0.00939960,-0.01966801,0.02012781,-0.01176913
rfemur_2_pos,0.40335689,0.10192059,-0.01504625,0.00593216,-0.00913341,-0.00122582,0.00324627,-0.05349915,0.00401638,0.01430028,-0.00070565,-0.00695733,0.00034967
ltibia_0_pos,0.62675984,0.17772314,-0.27622719,-0.06149509,-0.02886460,-0.00809659,0.00192358,-0.25153339,-0.13921750,0.07855603,-0.03225369,0.00480812,-0.00410615
rtibia_0_pos,0.62016203,-0.19970371,-0.25337275,0.08422956,-0.02385691,0.00982412,-0.00305708,0.20057260,-0.16888114,-0.06005216,-0.01938315,0.01150491,0.00304606
lfoot_0_pos,-0.14590596,0.04626533,-0.11639843,0.01456539,0.01856630,-0.03751136,0.00324946,-0.13290454,0.07096396,0.04874394,-0.03269568,-0.01610420,0.00958096
lfoot_1_pos,0.18558069,0.07622992,-0.00998308,-0.00958196,0.02636402,0.01518675,-0.01017883,0.03266965,-0.01335833,0.03891589,0.02948955,-0.01366430,-0.00792192
rfoot_0_pos,-0.18844706,-0.01960750,-0.12395378,-0.00350717,0.02084575,0.03436116,-0.00120960,0.16419628,0.06464114,-0.05837975,-0.03274700,0.02581600,0.00157352
rfoot_1_pos,-0.12981370,0.14059113,0.02460525,-0.03035686,0.00817433,0.01042000,0.00114330,-0.00863214,0.04421237,0.00004378,-0.01755498,-0.00055634,0.01142849
