joint_name,a0,a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,b5,b6
lfemur_0_pos,-0.21537704,0.36141592,0.00104527,-0.02809764,0.00112561,0.00417571,-0.00188698,0.07969481,0.05762892,0.02763691,-0.01045365,-0.01072285,-0.00215433
lfemur_1_pos,-0.01702175,-0.05604715,-0.02817908,0.01151825,0.00881365,0.00213932,0.00468155,-0.00339573,-0.02641194,0.00153309,0.00115618,0.00154413,0.00049012
lfemur_2_pos,-0.30505043,-0.19503231,0.00121301,0.00315425,0.00254190,0.00634980,-0.00181503,0.05259730,-0.00078946,-0.02648230,0.00094738,0.00269321,0.00006413
rfemur_0_pos,-0.22213753,-0.39107783,0.00100937,0.03888741,0.00934032,0.00240749,0.00026763,-0.04962499,0.08174623,0.01371824,-0.02345816,0.01702451,-0.00873211
rfemur_1_pos,-0.05621641,-0.10647015,0.05070943,0.03014512,0.00390157,-0.01562990,-0.00590203,0.03782003,0.02798845,-0.01243034,0.00460433,0.02168590,-0.00862449
rfemur_2_pos,0.37411346,-0.19878006,0.00825458,-0.00303602,-0.01069760,0.00022247,0.00393252,0.03420905,-0.00117320,-0.03653045,-0.00288646,-0.00103193,-0.00040574
ltibia_0_pos,0.48585556,-0.12115912,-0.19357581,0.04592378,0.03054687,-0.01380148,0.00520706,0.18225161,-0.09095845,-0.10252568,0.01768841,0.02195851,0.00327240
rtibia_0_pos,0.51627749,0.21003125,-0.23128089,-0.07190619,0.00608049,0.00608176,-0.00081810,-0.24683853,-0.15948055,0.07173564,0.04128358,-0.03140879,0.01046533
lfoot_0_pos,-0.08940343,0.00577496,-0.08275836,-0.03295204,0.01070424,0.02843463,-0.00327202,0.08977073,0.07058750,-0.04084649,-0.04179177,0.01346017,0.00893844
lfoot_1_pos,0.14828913,-0.04862842,0.09239134,-0.00766578,-0.02330274,-0.02120174,0.00272071,-0.04100926,-0.00490081,0.00302903,0.01469288,-0.01180384,-0.01342075
rfoot_0_pos,-0.08783635,0.01929029,-0.06880239,-0.00124404,0.05852702,-0.01955997,-0.02900397,-0.10693903,-0.00209798,0.06604198,-0.00566407,-0.03372027,-0.00515389
rfoot_1_pos,-0.27255120,-0.02350640,-0.07679081,-0.01616352,0.00145246,0.00918498,-0.00003929,-0.01159367,0.00362857,0.00915909,-0.03748469,-0.02024832,0.01023226
